Topall,rank
YDR037W,1
YER133W,2
YKL067W,3
YOR133W,4
YLR259C,5
YCL017C,6
YOR261C,7
YPL266W,8
YEL051W,9
YOL021C,10
YER136W,11
YBR010W,12
YFL039C,13
YOL139C,14
YBR109C,15
YML085C,16
YFL038C,17
YDR188W,18
YFR004W,19
YNL064C,20
YNL178W,21
YDL191W,22
YBL072C,23
YER148W,24
YNL112W,25
YBR118W,26
YDL143W,27
YGL167C,28
YNL330C,29
YPL091W,30
YPR108W,31
YDL097C,32
YOL038W,33
YOL077C,34
YOL094C,35
YPL244C,36
YDR226W,37
YLR234W,38
YPL204W,39
YHL015W,40
YJL190C,41
YGR195W,42
YNL189W,43
YNL207W,44
YDL147W,45
YLR277C,46
YOR207C,47
YJR064W,48
YOR224C,49
YOR335C,50
YFL037W,51
YIL142W,52
YLL018C,53
YPL259C,54
YGR094W,55
YBL076C,56
YDR172W,57
YHR068W,58
YJR068W,59
YBR025C,60
YBR127C,61
YDL014W,62
YJL008C,63
YLR060W,64
YCR072C,65
YDR050C,66
YER094C,67
YBL023C,68
YDL007W,69
YLR075W,70
YOR244W,71
YOR259C,72
YOR312C,73
YCR012W,74
YHR027C,75
YLR172C,76
YMR131C,77
YCL043C,78
YDR155C,79
YER043C,80
YGL238W,81
YOR157C,82
YPR173C,83
YBL091C,84
YDR120C,85
YLR447C,86
YPL218W,87
YER107C,88
YGL201C,89
YOR362C,90
YOR232W,91
YDR189W,92
YBR196C,93
YOL093W,94
YAL016W,95
YGL206C,96
YDR238C,97
YIL078W,98
YPL090C,99
YBR034C,100
YKL002W,101
YNL030W,102
YDL126C,103
YNL088W,104
YER165W,105
YJL115W,106
YHR203C,107
YOR243C,108
YJR121W,109
YJR123W,110
YKL135C,111
YDR023W,112
YDR190C,113
YHR170W,114
YMR146C,115
YMR216C,116
YOR027W,117
YEL054C,118
YGL058W,119
YJL111W,120
YOR270C,121
YBR011C,122
YLR163C,123
YMR314W,124
YOL133W,125
YPR033C,126
YDR510W,127
YGL048C,128
YJR099W,129
YKL024C,130
YKL085W,131
YKL113C,132
YGR244C,133
YHR008C,134
YKL104C,135
YKL196C,136
YLR027C,137
YNL301C,138
YNL320W,139
YPR103W,140
YBL040C,141
YDR424C,142
YKL210W,143
YPR041W,144
YDL125C,145
YJL001W,146
YNL287W,147
YDL195W,148
YDR012W,149
YHL032C,150
YMR260C,151
YPL237W,152
YPR088C,153
YBL050W,154
YBR160W,155
YNL061W,156
YOL010W,157
YPL151C,158
YPL093W,159
YLR378C,160
YKL009W,161
YDL060W,162
YCR057C,163
YBR080C,164
YLR340W,165
YPR010C,166
YDR331W,167
YNR007C,168
YDL145C,169
YHR042W,170
YLR243W,171
YOR145C,172
YPL211W,173
YDL015C,174
YDR092W,175
YDR364C,176
YDR456W,177
YIL021W,178
YKR026C,179
YPR113W,180
YDL103C,181
YHR013C,182
YJL014W,183
YJL197W,184
YBR087W,185
YEL056W,186
YIL018W,187
YLR274W,188
YMR226C,189
YBL036C,190
YDL055C,191
YGL091C,192
YKL193C,193
YKR068C,194
YNL132W,195
YPL209C,196
YAL036C,197
YBL027W,198
YDL132W,199
YML069W,200
YER003C,201
YGR135W,202
YGR172C,203
YJL125C,204
YKL080W,205
YLR005W,206
YOR332W,207
YDR328C,208
YJL191W,209
YOR117W,210
YER126C,211
YLL029W,212
YML001W,213
YPR102C,214
YDL100C,215
YFR050C,216
YGR218W,217
YOR119C,218
YPR181C,219
YCR047C,220
YNR053C,221
YOR361C,222
YAR007C,223
YDL084W,224
YDR292C,225
YEL037C,226
YLR268W,227
YBL041W,228
YMR022W,229
YER082C,230
YOR063W,231
YPL235W,232
YJL138C,233
YDL160C,234
YIL125W,235
YGL011C,236
YIL103W,237
YJR007W,238
YFL018C,239
YJR070C,240
YNL075W,241
YDL164C,242
YGR020C,243
YER178W,244
YFR010W,245
YJR045C,246
YKR048C,247
YPL220W,248
YAL026C,249
YDL040C,250
YDR454C,251
YGL097W,252
YGR211W,253
YLR276C,254
YLR409C,255
YBL078C,256
YCR063W,257
YDR339C,258
YER117W,259
YER171W,260
YMR116C,261
YOR142W,262
YPL154C,263
YAL042W,264
YDR427W,265
YER021W,266
YGL003C,267
YLR129W,268
YLR212C,269
YNL202W,270
YPL008W,271
YBR221C,272
YDR135C,273
YDR267C,274
YIL143C,275
YGL022W,276
YOR187W,277
YBR055C,278
YER023W,279
YIL075C,280
YJR069C,281
YLR347C,282
YMR288W,283
YNL001W,284
YMR049C,285
YOL097C,286
YOR217W,287
YBR143C,288
YFR051C,289
YGR145W,290
YHR165C,291
YLR175W,292
YML110C,293
YOR246C,294
YPR029C,295
YDR212W,296
YGL207W,297
YLL011W,298
YER156C,299
YGL137W,300
YMR290C,301
YGR253C,302
YOL124C,303
YPR112C,304
YPR110C,305
YMR308C,306
YGR245C,307
YHR065C,308
YLR262C,309
YDR211W,310
YDR280W,311
YIL091C,312
YAL035W,313
YBL024W,314
YDL030W,315
YGR132C,316
YJL026W,317
YMR105C,318
YNL220W,319
YPR176C,320
YNL007C,321
YOL006C,322
YOR310C,323
YPL175W,324
YBR058C,325
YBR229C,326
YDR394W,327
YPL086C,328
YBR243C,329
YCR093W,330
YDR097C,331
YDR270W,332
YHR026W,333
YLR117C,334
YML092C,335
YNL241C,336
YBR088C,337
YGR085C,338
YJR072C,339
YBR039W,340
YBR159W,341
YBR202W,342
YHR012W,343
YKR002W,344
YLR009W,345
YLR240W,346
YMR309C,347
YPR019W,348
YBR247C,349
YER012W,350
YGR171C,351
YBR017C,352
YDL102W,353
YDR224C,354
YLR058C,355
YPL028W,356
YPL160W,357
YBL092W,358
YHR122W,359
YPR094W,360
YEL031W,361
YGL001C,362
YHR193C,363
YKR081C,364
YPR082C,365
YKL095W,366
YBR121C,367
YFL045C,368
YBL099W,369
YEL026W,370
YGL030W,371
YGL095C,372
YGL163C,373
YDL201W,374
YER016W,375
YKL190W,376
YKR017C,377
YLR289W,378
YDL166C,379
YDR164C,380
YFL022C,381
YOR014W,382
YER009W,383
YKL035W,384
YLR026C,385
YNL082W,386
YHR111W,387
YJR040W,388
YLL050C,389
YMR224C,390
YOR089C,391
YOR298C-A,392
YAL003W,393
YDL190C,394
YGR103W,395
YKL212W,396
YLR275W,397
YMR093W,398
YNL262W,399
YPL252C,400
YPR016C,401
YDR450W,402
YGL087C,403
YIL109C,404
YIR022W,405
YLR170C,406
YLR304C,407
YBR003W,408
YDL140C,409
YEL003W,410
YJL053W,411
YKR038C,412
YNL102W,413
YEL032W,414
YPR132W,415
YDR062W,416
YDR404C,417
YJL050W,418
YLR389C,419
YKL099C,420
YNL288W,421
YHR148W,422
YJR117W,423
YKL029C,424
YIL148W,425
YHR128W,426
YOL005C,427
YOR039W,428
YBR198C,429
YKR079C,430
YLR186W,431
YOR272W,432
YBR154C,433
YDL064W,434
YGL099W,435
YKL209C,436
YNL244C,437
YOR151C,438
YBL037W,439
YDL208W,440
YEL058W,441
YKL056C,442
YMR139W,443
YPL217C,444
YDR496C,445
YLR118C,446
YOR116C,447
YHR088W,448
YCR011C,449
YGR231C,450
YJL154C,451
YBL022C,452
YCL059C,453
YDL031W,454
YJL097W,455
YLR196W,456
YNL290W,457
YPR178W,458
YJR008W,459
YLR222C,460
YBR061C,461
YBR079C,462
YAL025C,463
YKL144C,464
YER007C-A,465
YER025W,466
YGL120C,467
YGL143C,468
YGR232W,469
YGR078C,470
YML094W,471
YDR390C,472
YJL060W,473
YLR025W,474
YLR086W,475
YNL161W,476
YOR006C,477
YOR262W,478
YBR237W,479
YHR168W,480
YIL007C,481
YJR057W,482
YJR110W,483
YKL145W,484
YLR148W,485
YLR359W,486
YMR167W,487
YPL059W,488
YPL131W,489
YPR086W,490
YBR029C,491
YDR148C,492
YGL065C,493
YGR220C,494
YIL106W,495
YJR006W,496
YBL063W,497
YKL019W,498
YLR208W,499
YPR182W,500
YGL006W,501
YGL068W,502
YGR074W,503
YLR197W,504
YML102W,505
YNL071W,506
YOR245C,507
YLR406C,508
YPR141C,509
YER015W,510
YNL227C,511
YOL090W,512
YFR031C,513
YGR246C,514
YLL041C,515
YOR112W,516
YPL037C,517
YPL122C,518
YCR024C,519
YIL033C,520
YEL002C,521
YGL043W,522
YPL043W,523
YML049C,524
YPL178W,525
YDR365C,526
YKL045W,527
YGR034W,528
YLL008W,529
YLR253W,530
YDR298C,531
YJL029C,532
YOR074C,533
YBR261C,534
YDL087C,535
YER100W,536
YLR116W,537
YAL058W,538
YDR140W,539
YJR084W,540
YLR229C,541
YML010W,542
YOR020C,543
YDL236W,544
YDR410C,545
YER164W,546
YPL022W,547
YPR028W,548
YDR435C,549
YFR009W,550
YGR116W,551
YKL134C,552
YGR278W,553
YJR017C,554
YDL090C,555
YGR155W,556
YHR076W,557
YPL010W,558
YFL002C,559
YNL072W,560
YNR052C,561
YBR110W,562
YCR036W,563
YHR200W,564
YJR105W,565
YPR183W,566
YLR083C,567
YFL008W,568
YBR267W,569
YGL190C,570
YDR091C,571
YOR206W,572
YER036C,573
YJL069C,574
YDR448W,575
YHR070W,576
YJL030W,577
YLR147C,578
YGL171W,579
YPL249C-A,580
YBR135W,581
YLR200W,582
YDR196C,583
YJL143W,584
YLR291C,585
YOR095C,586
YPR175W,587
YAL038W,588
YDR036C,589
YGR257C,590
YHR166C,591
YIR008C,592
YOR341W,593
YPR066W,594
YBR227C,595
YCR094W,596
YDL029W,597
YDR183W,598
YEL012W,599
YGR048W,600
YHR024C,601
YJL033W,602
YKR051W,603
YLR429W,604
YNR046W,605
YGR037C,606
YML035C,607
YNL169C,608
YPL029W,609
YML028W,610
YPL247C,611
YNL048W,612
YGR054W,613
YKR054C,614
YBR252W,615
YER013W,616
YDR477W,617
YOR175C,618
YPL002C,619
YLR185W,620
YOL127W,621
YOR254C,622
YHR183W,623
YLR002C,624
YNL003C,625
YOR323C,626
YPL262W,627
YAL048C,628
YML054C,629
YNL006W,630
YNL025C,631
YOR257W,632
YOR356W,633
YDR376W,634
YFR052W,635
YGR254W,636
YHR069C,637
YIL034C,638
YKL017C,639
YLL001W,640
YNR041C,641
YPR047W,642
YBR220C,643
YBR236C,644
YFL016C,645
YJR131W,646
YLR377C,647
YLR396C,648
YLR438W,649
YML130C,650
YNR001C,651
YOR196C,652
YOR250C,653
YER061C,654
YLR383W,655
YOR065W,656
YCL033C,657
YJR065C,658
YLR348C,659
YAL012W,660
YDR105C,661
YEL011W,662
YGR091W,663
YML012W,664
YMR110C,665
YOR212W,666
YOL123W,667
YKL213C,668
YML126C,669
YPR035W,670
YER095W,671
YPR160W,672
YLR167W,673
YGR090W,674
YLR325C,675
YOL012C,676
YLR354C,677
YDR382W,678
YPL227C,679
YBR170C,680
YIR005W,681
YMR080C,682
YAL032C,683
YER154W,684
YFR028C,685
YOL145C,686
YDR416W,687
YGL119W,688
YGR207C,689
YJL155C,690
YLR153C,691
YLR410W,692
YPR187W,693
YER163C,694
YGL070C,695
YHR007C,696
YJL167W,697
YMR293C,698
YGR185C,699
YPL213W,700
YJL074C,701
YBR234C,702
YOL142W,703
YDR060W,704
YMR092C,705
YEL027W,706
YGL205W,707
YGR063C,708
YKL216W,709
YNL250W,710
YPR074C,711
YDR170C,712
YER053C,713
YNL263C,714
YJR002W,715
YPR137W,716
YHR089C,717
YDL219W,718
YPL147W,719
YBL049W,720
YBR155W,721
YER006W,722
YHR074W,723
YLR438C-A,724
YMR020W,725
YMR276W,726
YGR200C,727
YNR054C,728
YPL045W,729
YDL168W,730
YDR045C,731
YKL149C,732
YMR203W,733
YNL062C,734
YNL092W,735
YCL004W,736
YDL178W,737
YDR177W,738
YER131W,739
YIL048W,740
YKL007W,741
YKL040C,742
YML093W,743
YOR150W,744
YPL040C,745
YPL065W,746
YBR254C,747
YDL135C,748
YER172C,749
YPL172C,750
YDL004W,751
YDR214W,752
YDR284C,753
YJL024C,754
YLR103C,755
YNL107W,756
YOR289W,757
YPR048W,758
YKR080W,759
YLR386W,760
YOL022C,761
YPL195W,762
YGR083C,763
YGR123C,764
YKL018W,765
YER146W,766
YKL028W,767
YNL313C,768
YJL002C,769
YMR061W,770
YOR070C,771
YMR189W,772
YPL097W,773
YBR006W,774
YBR222C,775
YDL137W,776
YDR301W,777
YGR028W,778
YJL034W,779
YOR274W,780
YBR133C,781
YCL054W,782
YDR044W,783
YDR429C,784
YHR171W,785
YJR058C,786
YKR093W,787
YOL033W,788
YOR046C,789
YOR056C,790
YOR103C,791
YOR184W,792
YGL112C,793
YHR005C,794
YLR351C,795
YLR370C,796
YMR132C,797
YNL185C,798
YOL052C,799
YPR067W,800
YDR243C,801
YKL117W,802
YKL148C,803
YMR296C,804
YNR016C,805
YOL018C,806
YMR165C,807
YGL054C,808
YIL022W,809
YPL111W,810
YBL003C,811
YMR243C,812
YMR292W,813
YHR072W-A,814
YPL012W,815
YKL180W,816
YFL030W,817
YLR216C,818
YLR448W,819
YGR271W,820
YMR001C,821
YPL009C,822
YPR069C,823
YDL052C,824
YLR264W,825
YDR086C,826
YHL010C,827
YLR299W,828
YLR398C,829
YML022W,830
YNR043W,831
YDR484W,832
YFL017W-A,833
YGR031W,834
YHL031C,835
YHR075C,836
YLL040C,837
YLR427W,838
YMR128W,839
YMR231W,840
YOR057W,841
YOR275C,842
YPL263C,843
YBL020W,844
YDR084C,845
YGR217W,846
YJL194W,847
YHR028C,848
YDR523C,849
YJL153C,850
YLR251W,851
YNL222W,852
YNL326C,853
YPR004C,854
YFL017C,855
YOL034W,856
YKL215C,857
YNL280C,858
YJL130C,859
YDL148C,860
YBR020W,861
YDL230W,862
YFR006W,863
YGR163W,864
YOR090C,865
YOR136W,866
YPL001W,867
YBL064C,868
YDR430C,869
YFR002W,870
YHL007C,871
YKL189W,872
YOR176W,873
YDL226C,874
YFL001W,875
YLR401C,876
YNL139C,877
YNL219C,878
YPR040W,879
YGR255C,880
YGR261C,881
YIL052C,882
YIL064W,883
YJR014W,884
YJR132W,885
YMR197C,886
YOL004W,887
YPR023C,888
YDR129C,889
YLL034C,890
YML038C,891
YNL045W,892
YDL081C,893
YER122C,894
YHR169W,895
YJR104C,896
YML121W,897
YMR028W,898
YNR015W,899
YEL024W,900
YLR066W,901
YOR304W,902
YBR187W,903
YOR241W,904
YOR293W,905
YBL058W,906
YDL022W,907
YGL234W,908
YGR047C,909
YNR035C,910
YGR159C,911
YKL012W,912
YAL005C,913
YBR296C,914
YGR264C,915
YNL255C,916
YIL097W,917
YMR009W,918
YOR271C,919
YBL004W,920
YBL098W,921
YFR044C,922
YGL027C,923
YGL142C,924
YGL240W,925
YHR005C-A,926
YKL010C,927
YOR004W,928
YPL046C,929
YPR073C,930
YDL108W,931
YER007W,932
YJR010W,933
YMR278W,934
YOR281C,935
YBR097W,936
YBR142W,937
YDL104C,938
YGL040C,939
YIL047C,940
YIR026C,941
YPR180W,942
YGR262C,943
YMR277W,944
YDR397C,945
YMR023C,946
YGL225W,947
YNL055C,948
YKL191W,949
YGR002C,950
YAL022C,951
YKR086W,952
YKL139W,953
YPR118W,954
YBL035C,955
YCL045C,956
YDR341C,957
YLR038C,958
YNL138W,959
YOR069W,960
YDL098C,961
YLR384C,962
YMR137C,963
YOR210W,964
YDL043C,965
YLR059C,966
YLR128W,967
YDR460W,968
YDR531W,969
YIR027C,970
YLL031C,971
YML021C,972
YMR210W,973
YEL020W-A,974
YHR204W,975
YNL141W,976
YDR268W,977
YER125W,978
YGL236C,979
YHR019C,980
YBR175W,981
YLR166C,982
YGR060W,983
YKL013C,984
YOR326W,985
YKR024C,986
YOR159C,987
YNR012W,988
YJL208C,989
YIL008W,990
YOL041C,991
YGL200C,992
YDR256C,993
YDR371W,994
YKL140W,995
YDR473C,996
YDR489W,997
YLR168C,998
YNL153C,999
YBR233W,1000
YER078C,1001
YER112W,1002
YGL124C,1003
YJR063W,1004
YKR030W,1005
YMR235C,1006
YBR192W,1007
YGR055W,1008
YHR186C,1009
YKL058W,1010
YLR127C,1011
YML077W,1012
YMR077C,1013
YMR300C,1014
YNL147W,1015
YAR003W,1016
YNL037C,1017
YOR067C,1018
YOR122C,1019
YBL082C,1020
YDR373W,1021
YGR046W,1022
YJL068C,1023
YFL036W,1024
YJL091C,1025
YOL080C,1026
YLR344W,1027
YOR036W,1028
YMR078C,1029
YIL023C,1030
YMR223W,1031
YOR204W,1032
YER157W,1033
YKL192C,1034
YNL238W,1035
YOR160W,1036
YPL082C,1037
YKL125W,1038
YOR007C,1039
YHR188C,1040
YLR388W,1041
YNR003C,1042
YPL203W,1043
YPR056W,1044
YBL097W,1045
YDL217C,1046
YDR246W,1047
YPR025C,1048
YBL021C,1049
YGR080W,1050
YGR194C,1051
YBL026W,1052
YGR024C,1053
YGR029W,1054
YMR076C,1055
YKL021C,1056
YNL284C,1057
YMR012W,1058
YGL055W,1059
YGR173W,1060
YDR299W,1061
YPL104W,1062
YIL035C,1063
YMR089C,1064
YFL044C,1065
YJL141C,1066
YOR048C,1067
YDL114W,1068
YDR002W,1069
YHR132C,1070
YLR088W,1071
YLR323C,1072
YNL267W,1073
YOR346W,1074
YPL170W,1075
YPL120W,1076
YDR080W,1077
YOL002C,1078
YPL013C,1079
YPL212C,1080
YDR013W,1081
YDR419W,1082
YGR223C,1083
YMR304W,1084
YBR235W,1085
YDL091C,1086
YDR452W,1087
YPL042C,1088
YBR241C,1089
YKL152C,1090
YGR267C,1091
YMR079W,1092
YBR070C,1093
YJL109C,1094
YJL189W,1095
YDL066W,1096
YDR264C,1097
YNL023C,1098
YGL115W,1099
YJL072C,1100
YNR036C,1101
YJR102C,1102
YOR001W,1103
YDR265W,1104
YDR324C,1105
YLR207W,1106
YOR167C,1107
YDL238C,1108
YDR236C,1109
YDR255C,1110
YKL160W,1111
YLR306W,1112
YNL312W,1113
YBL016W,1114
YDR021W,1115
YER070W,1116
YKL025C,1117
YLR246W,1118
YPR105C,1119
YNL135C,1120
YDR225W,1121
YHR099W,1122
YGR187C,1123
YOR096W,1124
YGL094C,1125
YGL256W,1126
YHL001W,1127
YGR274C,1128
YHR077C,1129
YNL148C,1130
YNL201C,1131
YNL275W,1132
YGL047W,1133
YGR061C,1134
YJR044C,1135
YLR133W,1136
YNL271C,1137
YPL051W,1138
YBL084C,1139
YEL046C,1140
YHR113W,1141
YIL065C,1142
YJL035C,1143
YPL132W,1144
YBL105C,1145
YFR019W,1146
YGR208W,1147
YNL265C,1148
YIL110W,1149
YOR085W,1150
YFL005W,1151
YKL165C,1152
YJL124C,1153
YPR129W,1154
YPR036W,1155
YER162C,1156
YMR229C,1157
YDR221W,1158
YHR018C,1159
YLR017W,1160
YLR074C,1161
YAR035W,1162
YDL074C,1163
YGR258C,1164
YLR245C,1165
YOR100C,1166
YPR051W,1167
YDR266C,1168
YGL083W,1169
YJR048W,1170
YOR123C,1171
YBL080C,1172
YDR152W,1173
YJR135W-A,1174
YKL110C,1175
YNR030W,1176
YOR336W,1177
YPL088W,1178
YBR018C,1179
YBR291C,1180
YCR042C,1181
YEL042W,1182
YGL216W,1183
YKR031C,1184
YDR099W,1185
YLR314C,1186
YMR026C,1187
YNL113W,1188
YKL120W,1189
YHL002W,1190
YHR039C-A,1191
YDR378C,1192
YIL044C,1193
YIL128W,1194
YJL180C,1195
YBL079W,1196
YML060W,1197
YBL047C,1198
YBR060C,1199
YDL206W,1200
YGL233W,1201
YHR011W,1202
YJL080C,1203
YLR032W,1204
YNL142W,1205
YOR161C,1206
YHR175W,1207
YGR101W,1208
YHR079C,1209
YBL102W,1210
YBR041W,1211
YKL154W,1212
YGL195W,1213
YLR336C,1214
YML042W,1215
YFR015C,1216
YGR243W,1217
YMR109W,1218
YPR189W,1219
YPL125W,1220
YER183C,1221
YDR386W,1222
YGR284C,1223
YLR113W,1224
YEL021W,1225
YER168C,1226
YGR227W,1227
YHR102W,1228
YBR035C,1229
YDL188C,1230
YLR293C,1231
YML059C,1232
YNL223W,1233
YOL087C,1234
YCR044C,1235
YDR142C,1236
YDR529C,1237
YGR036C,1238
YIL049W,1239
YOL058W,1240
YHR114W,1241
YOL107W,1242
YOR143C,1243
YPL169C,1244
YPR184W,1245
YGL100W,1246
YKL218C,1247
YJL031C,1248
YPL249C,1249
YLR106C,1250
YLR180W,1251
YMR097C,1252
YGL244W,1253
YDL051W,1254
YBL039C,1255
YOR125C,1256
YGL173C,1257
YCR088W,1258
YER110C,1259
YBR004C,1260
YBR103W,1261
YCR075C,1262
YLR239C,1263
YMR183C,1264
YNL110C,1265
YDR283C,1266
YGR005C,1267
YJR024C,1268
YKR009C,1269
YKR070W,1270
YML104C,1271
YNL163C,1272
YCL039W,1273
YER057C,1274
YFR021W,1275
YJL059W,1276
YNR008W,1277
YDR372C,1278
YOR111W,1279
YDR242W,1280
YER031C,1281
YPR165W,1282
YLL019C,1283
YGR285C,1284
YJL010C,1285
YEL020C,1286
YGL241W,1287
YHR001W,1288
YPL236C,1289
YDR400W,1290
YMR002W,1291
YAL019W,1292
YGR003W,1293
YHR023W,1294
YIL061C,1295
YOL008W,1296
YGL183C,1297
YHR051W,1298
YOR236W,1299
YHR002W,1300
YLR284C,1301
YGL044C,1302
YLR459W,1303
YML131W,1304
YGL246C,1305
YJR125C,1306
YHL030W,1307
YOR308C,1308
YDR244W,1309
YER081W,1310
YLR114C,1311
YNL024C,1312
YJR148W,1313
YPR144C,1314
YJL172W,1315
YPL210C,1316
